account_id,account_name,Scope_3_emissions_amount,z_score,Primary activity,Year
4136,Cummins Inc.,804503800.0,3.4478355499641213,Engines & motors,2017
16012,Royal Dutch Shell,653160000.0,2.7041078227119164,Oil & gas refining,2017
7619,Goodyear Tire & Rubber Company,171649429.0,2.1377818229144445,Rubber products,2017
3564,The Coca-Cola Company,55363118.0,3.299889473185274,Non-alcoholic beverages,2017
10670,LG Electronics,74650700.0,3.3567041655733942,Electronic equipment,2017
14292,Panasonic Corporation,79576700.0,3.6024723673955,Electronic equipment,2017
13807,Old Mutual Group,59661203.0,5.26664310347211,Asset managers,2017
53,Abertis Infraestructuras,17373046.0,3.411687872404324,Transportation infrastructure & other construction,2017
2096,Bouygues,12206781.0,2.244970047850604,Transportation infrastructure & other construction,2017
19080,thyssenkrupp AG,917117000.0,4.690327348831057,Commercial services,2017
18585,TETRA PAK,11253722.0,4.266767763368914,Paper products,2017
58295,WestRock Company,8475290.0,3.1161774576795773,Paper products,2017
64,Abbott Laboratories,8031000.0,2.084544680534026,Health care supplies,2017
31735,Korea District Heating Corp.,8529138684.0,5.65352133029747,CCGT generation,2017
4050,Credit Agricole,160066876.0,10.94549901219546,Banks,2017
8611,HSBC Holdings plc,34297271.0,2.237596990211344,Banks,2017
8525,LafargeHolcim Ltd,33896142.0,3.2706013531962363,Cement,2017
11329,"Marriott International, Inc.",5026405.0,2.050554741144942,Hotels & lodging,2017
52935,Korea South-East Power,1727471642.0,5.021480670881563,Electricity networks,2017
11930,Microsoft Corporation,23322304.0,3.486479436499983,Software,2017
336,Advanced Semiconductor Engineering,1463898.0,2.4494765975696704,Industrial services,2017
16072,"Ryder System, Inc.",8900719.0,2.688581669289805,Vehicles & machinery rental & leasing,2017
14709,Koninklijke Philips NV,103422954.0,4.241442675245535,Medical equipment,2017
14605,"PepsiCo, Inc.",62817971.0,4.735993299552803,Other food processing,2017
399,"Aisin Seiki Co., Ltd.",13031003.0,4.185372374836339,Fabricated metal components,2017
17673,"Stanley Black & Decker, Inc.",9109756.0,2.7956830657901013,Fabricated metal components,2017
18344,Tata Steel,27491043.0,2.3224093897570333,Iron & steel,2017
57666,AENA SA,4260437.0,2.220505073209157,Transportation support services,2017
5811,Ericsson,42353500.0,2.0556308177498805,Communications equipment,2017
13360,Nokia Group,45642400.0,2.256102024464312,Communications equipment,2017
16191,Samsung Electronics,52173000.0,2.654167414889458,Communications equipment,2017
16794,Sharp Corporation,27726000.0,3.2236228111725045,Electronic components,2017
19197,Toshiba Corporation,55568100.0,6.754504777468481,Electronic components,2017
1516,BASF SE,133203000.0,5.451248407241141,Specialty chemicals,2017
13521,Novozymes A/S,69488734.0,2.662594930291748,Specialty chemicals,2017
11796,"MetLife, Inc.",7697256.0,6.219802080885139,Insurance,2017
16563,Scor SE,5787976.0,4.61469364867127,Insurance,2017
2302,Sky plc,2586281.0,3.639700536236534,Marketing,2017
44164,Bertelsmann,1580400.0,2.0392523113884127,Marketing,2017
18574,Tesco,60019704.0,3.540091001787196,"Supermarkets, food & drugstores",2017
20402,"Wal-Mart Stores, Inc.",51646616.0,2.978754164932058,"Supermarkets, food & drugstores",2017
4226,"Daikin Industries, Ltd.",196690787.85,3.723392256893882,Electrical equipment,2017
8338,"Hitachi, Ltd.",119950000.0,2.1106991769425023,Electrical equipment,2017
9103,Ingersoll-Rand Co. Ltd.,213861950.0,4.084240967857801,Electrical equipment,2017
7903,H&M Hennes & Mauritz AB,16899570.0,3.777934533025475,Apparel stores,2017
17556,Spirax-Sarco Engineering,4400000.0,3.7413547478203455,Engineering services,2017
4826,The Dow Chemical Company,76350000.0,4.0978867264950125,Other base chemicals,2017
12141,Mitsubishi Chemical Holdings Corporation,55006000.0,2.7948116466904334,Other base chemicals,2017
10056,Kellogg Company,8682584.0,2.8279005538650464,Baked goods & cereals,2017
22350,Anheuser Busch InBev,17812391.0,2.9442715608032777,Alcoholic beverages,2017
58858,HP Inc,40060000.0,2.952925251823792,Computer hardware,2017
31497,CenturyLink,82802261.0,7.193182018896528,Telecommunications services,2017
9992,"Kawasaki Heavy Industries, Ltd.",58126683.0,3.0162097396729712,Industrial machinery,2017
51086,Valmet,84385875.0,4.532654092693515,Industrial machinery,2017
4255,"Daito Trust Construction Co., Ltd.",5100868.1,3.308036884804248,Real estate services,2017
64623,Askul,1375540.0,2.141959933464778,Discretionary delivery retail,2017
20205,Vinci,14369443.0,3.3031604954042155,Non-residential building construction,2017
